experimento,algoritmo,implementacion,familia,n,d,k,semilla,repeticion,ms,costo,nodos,poda_fact,poda_opt
e7_cpp_vs_python,fb,py,aleatoria,10,12,5,2,7,0.429834,1.341254469,,,
e7_cpp_vs_python,fb,py,aleatoria,10,12,5,2,8,0.434167,1.341254469,,,
e7_cpp_vs_python,fb,py,aleatoria,10,12,5,2,9,0.442458,1.341254469,,,
e7_cpp_vs_python,fb,py,aleatoria,10,12,5,2,10,0.432042,1.341254469,,,
e7_cpp_vs_python,bt,cpp,aleatoria,10,12,5,0,1,0.013667,0.9018301836,,,
e7_cpp_vs_python,bt,cpp,aleatoria,10,12,5,0,2,0.01325,0.9018301836,,,
e7_cpp_vs_python,bt,cpp,aleatoria,10,12,5,0,3,0.013291,0.9018301836,,,
e7_cpp_vs_python,bt,cpp,aleatoria,10,12,5,0,4,0.013166,0.9018301836,,,
e7_cpp_vs_python,bt,cpp,aleatoria,10,12,5,0,5,0.013042,0.9018301836,,,
e7_cpp_vs_python,bt,cpp,aleatoria,10,12,5,0,6,0.013083,0.9018301836,,,
e7_cpp_vs_python,bt,cpp,aleatoria,10,12,5,0,7,0.014208,0.9018301836,,,
e7_cpp_vs_python,bt,cpp,aleatoria,10,12,5,0,8,0.0125,0.9018301836,,,
e7_cpp_vs_python,bt,cpp,aleatoria,10,12,5,0,9,0.012167,0.9018301836,,,
e7_cpp_vs_python,bt,cpp,aleatoria,10,12,5,0,10,0.0165,0.9018301836,,,
e7_cpp_vs_python,bt,cpp,aleatoria,10,12,5,1,1,0.00825,1.265981129,,,
e7_cpp_vs_python,bt,cpp,aleatoria,10,12,5,1,2,0.009625,1.265981129,,,
e7_cpp_vs_python,bt,cpp,aleatoria,10,12,5,1,3,0.008167,1.265981129,,,
e7_cpp_vs_python,bt,cpp,aleatoria,10,12,5,1,4,0.008583,1.265981129,,,
e7_cpp_vs_python,bt,cpp,aleatoria,10,12,5,1,5,0.008791,1.265981129,,,
e7_cpp_vs_python,bt,cpp,aleatoria,10,12,5,1,6,0.007959,1.265981129,,,
e7_cpp_vs_python,bt,cpp,aleatoria,10,12,5,1,7,0.007959,1.265981129,,,
e7_cpp_vs_python,bt,cpp,aleatoria,10,12,5,1,8,0.008084,1.265981129,,,
e7_cpp_vs_python,bt,cpp,aleatoria,10,12,5,1,9,0.008541,1.265981129,,,
e7_cpp_vs_python,bt,cpp,aleatoria,10,12,5,1,10,0.008417,1.265981129,,,
e7_cpp_vs_python,bt,cpp,aleatoria,10,12,5,2,1,0.014084,1.341254469,,,
e7_cpp_vs_python,bt,cpp,aleatoria,10,12,5,2,2,0.011708,1.341254469,,,
e7_cpp_vs_python,bt,cpp,aleatoria,10,12,5,2,3,0.011792,1.341254469,,,
e7_cpp_vs_python,bt,cpp,aleatoria,10,12,5,2,4,0.011959,1.341254469,,,
e7_cpp_vs_python,bt,cpp,aleatoria,10,12,5,2,5,0.012708,1.341254469,,,
e7_cpp_vs_python,bt,cpp,aleatoria,10,12,5,2,6,0.012917,1.341254469,,,
e7_cpp_vs_python,bt,cpp,aleatoria,10,12,5,2,7,0.011917,1.341254469,,,
e7_cpp_vs_python,bt,cpp,aleatoria,10,12,5,2,8,0.011959,1.341254469,,,
e7_cpp_vs_python,bt,cpp,aleatoria,10,12,5,2,9,0.012083,1.341254469,,,
e7_cpp_vs_python,bt,cpp,aleatoria,10,12,5,2,10,0.01175,1.341254469,,,
e7_cpp_vs_python,bt,py,aleatoria,10,12,5,0,1,0.411083,0.9018301836,,,
e7_cpp_vs_python,bt,py,aleatoria,10,12,5,0,2,0.399625,0.9018301836,,,
e7_cpp_vs_python,bt,py,aleatoria,10,12,5,0,3,0.436208,0.9018301836,,,
e7_cpp_vs_python,bt,py,aleatoria,10,12,5,0,4,0.395666,0.9018301836,,,
e7_cpp_vs_python,bt,py,aleatoria,10,12,5,0,5,0.403083,0.9018301836,,,
e7_cpp_vs_python,bt,py,aleatoria,10,12,5,0,6,0.406209,0.9018301836,,,
e7_cpp_vs_python,bt,py,aleatoria,10,12,5,0,7,0.429125,0.9018301836,,,
e7_cpp_vs_python,bt,py,aleatoria,10,12,5,0,8,0.393666,0.9018301836,,,
e7_cpp_vs_python,bt,py,aleatoria,10,12,5,0,9,0.397667,0.9018301836,,,
e7_cpp_vs_python,bt,py,aleatoria,10,12,5,0,10,0.40475,0.9018301836,,,
e7_cpp_vs_python,bt,py,aleatoria,10,12,5,1,1,0.271458,1.265981129,,,
e7_cpp_vs_python,bt,py,aleatoria,10,12,5,1,2,0.254042,1.265981129,,,
e7_cpp_vs_python,bt,py,aleatoria,10,12,5,1,3,0.251125,1.265981129,,,
e7_cpp_vs_python,bt,py,aleatoria,10,12,5,1,4,0.253333,1.265981129,,,
e7_cpp_vs_python,bt,py,aleatoria,10,12,5,1,5,0.280584,1.265981129,,,
e7_cpp_vs_python,bt,py,aleatoria,10,12,5,1,6,0.253667,1.265981129,,,
e7_cpp_vs_python,bt,py,aleatoria,10,12,5,1,7,0.255167,1.265981129,,,
