experimento,algoritmo,implementacion,familia,n,d,k,semilla,repeticion,ms,costo,nodos,poda_fact,poda_opt
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,10,12,5,1,9,0.030458,1.265981129,167,28,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,10,12,5,1,10,0.034458,1.265981129,167,28,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,10,12,5,2,1,0.028417,1.341254469,167,28,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,10,12,5,2,2,0.02875,1.341254469,167,28,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,10,12,5,2,3,0.032125,1.341254469,167,28,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,10,12,5,2,4,0.029625,1.341254469,167,28,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,10,12,5,2,5,0.030167,1.341254469,167,28,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,10,12,5,2,6,0.031667,1.341254469,167,28,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,10,12,5,2,7,0.026792,1.341254469,167,28,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,10,12,5,2,8,0.027542,1.341254469,167,28,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,10,12,5,2,9,0.029625,1.341254469,167,28,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,10,12,5,2,10,0.025875,1.341254469,167,28,0
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,10,12,5,0,1,0.052917,0.9018301836,95,0,17
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,10,12,5,0,2,0.04475,0.9018301836,95,0,17
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,10,12,5,0,3,0.04075,0.9018301836,95,0,17
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,10,12,5,0,4,0.032375,0.9018301836,95,0,17
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,10,12,5,0,5,0.038167,0.9018301836,95,0,17
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,10,12,5,0,6,0.0355,0.9018301836,95,0,17
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,10,12,5,0,7,0.034,0.9018301836,95,0,17
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,10,12,5,0,8,0.027542,0.9018301836,95,0,17
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,10,12,5,0,9,0.027458,0.9018301836,95,0,17
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,10,12,5,0,10,0.025,0.9018301836,95,0,17
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,10,12,5,1,1,0.018334,1.265981129,63,0,12
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,10,12,5,1,2,0.015333,1.265981129,63,0,12
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,10,12,5,1,3,0.015125,1.265981129,63,0,12
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,10,12,5,1,4,0.015667,1.265981129,63,0,12
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,10,12,5,1,5,0.018042,1.265981129,63,0,12
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,10,12,5,1,6,0.013833,1.265981129,63,0,12
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,10,12,5,1,7,0.014708,1.265981129,63,0,12
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,10,12,5,1,8,0.015417,1.265981129,63,0,12
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,10,12,5,1,9,0.014792,1.265981129,63,0,12
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,10,12,5,1,10,0.013,1.265981129,63,0,12
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,10,12,5,2,1,0.018292,1.341254469,91,0,16
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,10,12,5,2,2,0.017292,1.341254469,91,0,16
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,10,12,5,2,3,0.020042,1.341254469,91,0,16
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,10,12,5,2,4,0.018125,1.341254469,91,0,16
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,10,12,5,2,5,0.018459,1.341254469,91,0,16
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,10,12,5,2,6,0.0165,1.341254469,91,0,16
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,10,12,5,2,7,0.017791,1.341254469,91,0,16
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,10,12,5,2,8,0.017792,1.341254469,91,0,16
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,10,12,5,2,9,0.01575,1.341254469,91,0,16
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,10,12,5,2,10,0.0165,1.341254469,91,0,16
e6_ablacion_podas,bt,cpp_sin_podas,aleatoria,10,12,5,0,1,0.078333,0.9018301836,185,0,0
e6_ablacion_podas,bt,cpp_sin_podas,aleatoria,10,12,5,0,2,0.056792,0.9018301836,185,0,0
e6_ablacion_podas,bt,cpp_sin_podas,aleatoria,10,12,5,0,3,0.062125,0.9018301836,185,0,0
e6_ablacion_podas,bt,cpp_sin_podas,aleatoria,10,12,5,0,4,0.062333,0.9018301836,185,0,0
e6_ablacion_podas,bt,cpp_sin_podas,aleatoria,10,12,5,0,5,0.034542,0.9018301836,185,0,0
e6_ablacion_podas,bt,cpp_sin_podas,aleatoria,10,12,5,0,6,0.052542,0.9018301836,185,0,0
e6_ablacion_podas,bt,cpp_sin_podas,aleatoria,10,12,5,0,7,0.034125,0.9018301836,185,0,0
e6_ablacion_podas,bt,cpp_sin_podas,aleatoria,10,12,5,0,8,0.032416,0.9018301836,185,0,0
e6_ablacion_podas,bt,cpp_sin_podas,aleatoria,10,12,5,0,9,0.035958,0.9018301836,185,0,0
e6_ablacion_podas,bt,cpp_sin_podas,aleatoria,10,12,5,0,10,0.048959,0.9018301836,185,0,0
e6_ablacion_podas,bt,cpp_sin_podas,aleatoria,10,12,5,1,1,0.042041,1.265981129,185,0,0
e6_ablacion_podas,bt,cpp_sin_podas,aleatoria,10,12,5,1,2,0.035208,1.265981129,185,0,0
e6_ablacion_podas,bt,cpp_sin_podas,aleatoria,10,12,5,1,3,0.038458,1.265981129,185,0,0
e6_ablacion_podas,bt,cpp_sin_podas,aleatoria,10,12,5,1,4,0.0375,1.265981129,185,0,0
e6_ablacion_podas,bt,cpp_sin_podas,aleatoria,10,12,5,1,5,0.0375,1.265981129,185,0,0
e6_ablacion_podas,bt,cpp_sin_podas,aleatoria,10,12,5,1,6,0.036875,1.265981129,185,0,0
e6_ablacion_podas,bt,cpp_sin_podas,aleatoria,10,12,5,1,7,0.039541,1.265981129,185,0,0
e6_ablacion_podas,bt,cpp_sin_podas,aleatoria,10,12,5,1,8,0.039167,1.265981129,185,0,0
e6_ablacion_podas,bt,cpp_sin_podas,aleatoria,10,12,5,1,9,0.037041,1.265981129,185,0,0
e6_ablacion_podas,bt,cpp_sin_podas,aleatoria,10,12,5,1,10,0.035791,1.265981129,185,0,0
e6_ablacion_podas,bt,cpp_sin_podas,aleatoria,10,12,5,2,1,0.034708,1.341254469,185,0,0
e6_ablacion_podas,bt,cpp_sin_podas,aleatoria,10,12,5,2,2,0.032666,1.341254469,185,0,0
e6_ablacion_podas,bt,cpp_sin_podas,aleatoria,10,12,5,2,3,0.030542,1.341254469,185,0,0
e6_ablacion_podas,bt,cpp_sin_podas,aleatoria,10,12,5,2,4,0.039417,1.341254469,185,0,0
e6_ablacion_podas,bt,cpp_sin_podas,aleatoria,10,12,5,2,5,0.030291,1.341254469,185,0,0
e6_ablacion_podas,bt,cpp_sin_podas,aleatoria,10,12,5,2,6,0.029958,1.341254469,185,0,0
e6_ablacion_podas,bt,cpp_sin_podas,aleatoria,10,12,5,2,7,0.028709,1.341254469,185,0,0
e6_ablacion_podas,bt,cpp_sin_podas,aleatoria,10,12,5,2,8,0.029334,1.341254469,185,0,0
e6_ablacion_podas,bt,cpp_sin_podas,aleatoria,10,12,5,2,9,0.034458,1.341254469,185,0,0
e6_ablacion_podas,bt,cpp_sin_podas,aleatoria,10,12,5,2,10,0.028042,1.341254469,185,0,0
e6_ablacion_podas,fb,cpp,aleatoria,10,12,5,0,1,0.028625,0.9018301836,185,0,0
e6_ablacion_podas,fb,cpp,aleatoria,10,12,5,0,2,0.028834,0.9018301836,185,0,0
e6_ablacion_podas,fb,cpp,aleatoria,10,12,5,0,3,0.028791,0.9018301836,185,0,0
e6_ablacion_podas,fb,cpp,aleatoria,10,12,5,0,4,0.031875,0.9018301836,185,0,0
e6_ablacion_podas,fb,cpp,aleatoria,10,12,5,0,5,0.0295,0.9018301836,185,0,0
e6_ablacion_podas,fb,cpp,aleatoria,10,12,5,0,6,0.027125,0.9018301836,185,0,0
e6_ablacion_podas,fb,cpp,aleatoria,10,12,5,0,7,0.027,0.9018301836,185,0,0
e6_ablacion_podas,fb,cpp,aleatoria,10,12,5,0,8,0.030625,0.9018301836,185,0,0
e6_ablacion_podas,fb,cpp,aleatoria,10,12,5,0,9,0.026333,0.9018301836,185,0,0
e6_ablacion_podas,fb,cpp,aleatoria,10,12,5,0,10,0.025584,0.9018301836,185,0,0
e6_ablacion_podas,fb,cpp,aleatoria,10,12,5,1,1,0.027667,1.265981129,185,0,0
e6_ablacion_podas,fb,cpp,aleatoria,10,12,5,1,2,0.031458,1.265981129,185,0,0
e6_ablacion_podas,fb,cpp,aleatoria,10,12,5,1,3,0.025709,1.265981129,185,0,0
e6_ablacion_podas,fb,cpp,aleatoria,10,12,5,1,4,0.025875,1.265981129,185,0,0
e6_ablacion_podas,fb,cpp,aleatoria,10,12,5,1,5,0.027083,1.265981129,185,0,0
e6_ablacion_podas,fb,cpp,aleatoria,10,12,5,1,6,0.024,1.265981129,185,0,0
e6_ablacion_podas,fb,cpp,aleatoria,10,12,5,1,7,0.023791,1.265981129,185,0,0
e6_ablacion_podas,fb,cpp,aleatoria,10,12,5,1,8,0.023875,1.265981129,185,0,0
e6_ablacion_podas,fb,cpp,aleatoria,10,12,5,1,9,0.024417,1.265981129,185,0,0
e6_ablacion_podas,fb,cpp,aleatoria,10,12,5,1,10,0.023625,1.265981129,185,0,0
e6_ablacion_podas,fb,cpp,aleatoria,10,12,5,2,1,0.028291,1.341254469,185,0,0
e6_ablacion_podas,fb,cpp,aleatoria,10,12,5,2,2,0.027459,1.341254469,185,0,0
e6_ablacion_podas,fb,cpp,aleatoria,10,12,5,2,3,0.028875,1.341254469,185,0,0
e6_ablacion_podas,fb,cpp,aleatoria,10,12,5,2,4,0.028167,1.341254469,185,0,0
e6_ablacion_podas,fb,cpp,aleatoria,10,12,5,2,5,0.02475,1.341254469,185,0,0
e6_ablacion_podas,fb,cpp,aleatoria,10,12,5,2,6,0.026541,1.341254469,185,0,0
e6_ablacion_podas,fb,cpp,aleatoria,10,12,5,2,7,0.028083,1.341254469,185,0,0
e6_ablacion_podas,fb,cpp,aleatoria,10,12,5,2,8,0.027875,1.341254469,185,0,0
e6_ablacion_podas,fb,cpp,aleatoria,10,12,5,2,9,0.027541,1.341254469,185,0,0
e6_ablacion_podas,fb,cpp,aleatoria,10,12,5,2,10,0.027708,1.341254469,185,0,0
e6_ablacion_podas,bt,cpp_ambas,aleatoria,12,12,6,0,1,0.018875,0.9178608337,115,15,15
e6_ablacion_podas,bt,cpp_ambas,aleatoria,12,12,6,0,2,0.018625,0.9178608337,115,15,15
e6_ablacion_podas,bt,cpp_ambas,aleatoria,12,12,6,0,3,0.02075,0.9178608337,115,15,15
e6_ablacion_podas,bt,cpp_ambas,aleatoria,12,12,6,0,4,0.018834,0.9178608337,115,15,15
e6_ablacion_podas,bt,cpp_ambas,aleatoria,12,12,6,0,5,0.020334,0.9178608337,115,15,15
e6_ablacion_podas,bt,cpp_ambas,aleatoria,12,12,6,0,6,0.019625,0.9178608337,115,15,15
e6_ablacion_podas,bt,cpp_ambas,aleatoria,12,12,6,0,7,0.019333,0.9178608337,115,15,15
e6_ablacion_podas,bt,cpp_ambas,aleatoria,12,12,6,0,8,0.017958,0.9178608337,115,15,15
e6_ablacion_podas,bt,cpp_ambas,aleatoria,12,12,6,0,9,0.017958,0.9178608337,115,15,15
e6_ablacion_podas,bt,cpp_ambas,aleatoria,12,12,6,0,10,0.017958,0.9178608337,115,15,15
e6_ablacion_podas,bt,cpp_ambas,aleatoria,12,12,6,1,1,0.008958,0.9831014648,57,4,18
e6_ablacion_podas,bt,cpp_ambas,aleatoria,12,12,6,1,2,0.008458,0.9831014648,57,4,18
e6_ablacion_podas,bt,cpp_ambas,aleatoria,12,12,6,1,3,0.008792,0.9831014648,57,4,18
e6_ablacion_podas,bt,cpp_ambas,aleatoria,12,12,6,1,4,0.00875,0.9831014648,57,4,18
e6_ablacion_podas,bt,cpp_ambas,aleatoria,12,12,6,1,5,0.009542,0.9831014648,57,4,18
e6_ablacion_podas,bt,cpp_ambas,aleatoria,12,12,6,1,6,0.009042,0.9831014648,57,4,18
e6_ablacion_podas,bt,cpp_ambas,aleatoria,12,12,6,1,7,0.00875,0.9831014648,57,4,18
e6_ablacion_podas,bt,cpp_ambas,aleatoria,12,12,6,1,8,0.00875,0.9831014648,57,4,18
e6_ablacion_podas,bt,cpp_ambas,aleatoria,12,12,6,1,9,0.008375,0.9831014648,57,4,18
e6_ablacion_podas,bt,cpp_ambas,aleatoria,12,12,6,1,10,0.008459,0.9831014648,57,4,18
e6_ablacion_podas,bt,cpp_ambas,aleatoria,12,12,6,2,1,0.012583,1.154818574,77,6,16
e6_ablacion_podas,bt,cpp_ambas,aleatoria,12,12,6,2,2,0.012375,1.154818574,77,6,16
e6_ablacion_podas,bt,cpp_ambas,aleatoria,12,12,6,2,3,0.012417,1.154818574,77,6,16
e6_ablacion_podas,bt,cpp_ambas,aleatoria,12,12,6,2,4,0.012791,1.154818574,77,6,16
e6_ablacion_podas,bt,cpp_ambas,aleatoria,12,12,6,2,5,0.012459,1.154818574,77,6,16
e6_ablacion_podas,bt,cpp_ambas,aleatoria,12,12,6,2,6,0.012541,1.154818574,77,6,16
e6_ablacion_podas,bt,cpp_ambas,aleatoria,12,12,6,2,7,0.012792,1.154818574,77,6,16
e6_ablacion_podas,bt,cpp_ambas,aleatoria,12,12,6,2,8,0.01275,1.154818574,77,6,16
e6_ablacion_podas,bt,cpp_ambas,aleatoria,12,12,6,2,9,0.016166,1.154818574,77,6,16
e6_ablacion_podas,bt,cpp_ambas,aleatoria,12,12,6,2,10,0.0145,1.154818574,77,6,16
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,12,12,6,0,1,0.084917,0.9178608337,659,120,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,12,12,6,0,2,0.088,0.9178608337,659,120,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,12,12,6,0,3,0.086792,0.9178608337,659,120,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,12,12,6,0,4,0.099,0.9178608337,659,120,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,12,12,6,0,5,0.092125,0.9178608337,659,120,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,12,12,6,0,6,0.082208,0.9178608337,659,120,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,12,12,6,0,7,0.083917,0.9178608337,659,120,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,12,12,6,0,8,0.089792,0.9178608337,659,120,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,12,12,6,0,9,0.086959,0.9178608337,659,120,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,12,12,6,0,10,0.090084,0.9178608337,659,120,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,12,12,6,1,1,0.083833,0.9831014648,659,120,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,12,12,6,1,2,0.105917,0.9831014648,659,120,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,12,12,6,1,3,0.090959,0.9831014648,659,120,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,12,12,6,1,4,0.083667,0.9831014648,659,120,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,12,12,6,1,5,0.082916,0.9831014648,659,120,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,12,12,6,1,6,0.08225,0.9831014648,659,120,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,12,12,6,1,7,0.104542,0.9831014648,659,120,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,12,12,6,1,8,0.0825,0.9831014648,659,120,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,12,12,6,1,9,0.083583,0.9831014648,659,120,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,12,12,6,1,10,0.087708,0.9831014648,659,120,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,12,12,6,2,1,0.08675,1.154818574,659,120,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,12,12,6,2,2,0.082417,1.154818574,659,120,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,12,12,6,2,3,0.093667,1.154818574,659,120,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,12,12,6,2,4,0.082792,1.154818574,659,120,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,12,12,6,2,5,0.096125,1.154818574,659,120,0
